window_start,window_end,best_model,second_model,best_rmse,best_mae,best_r2,second_rmse,second_mae,second_r2,rmse_gap
2013-03-25,2013-07-31,Random Forest,KNeighborsTimeSeries,141.51308044765364,130.90715909090906,-88.01460156698697,136.1409175516978,132.45227272727274,-81.3844846478326,5.3721628959558245
2013-09-13,2014-01-22,KNeighborsTimeSeries,Hidden Markov Model,16.85654811299497,14.964285714285712,-3.294907842986042,,,,
2014-01-23,2014-06-02,KNeighborsTimeSeries,Hidden Markov Model,42.209909704626554,39.85227272727273,-15.74460413721123,,,,
2014-03-07,2014-07-15,KNeighborsTimeSeries,Hidden Markov Model,77.98306707228178,75.93863636363636,-129.49200367973046,,,,
2014-04-21,2014-08-26,KNeighborsTimeSeries,Random Forest,105.01306211269964,98.69285714285715,-104.6008242134063,121.4012682636055,115.15440476190476,-140.1325246950525,-16.38820615090586
2014-06-03,2014-10-08,Random Forest,KNeighborsTimeSeries,28.174583620985583,24.284204545454543,-4.946995433948098,25.407863850677124,22.3,-3.836363101641525,2.766719770308459
2014-07-16,2014-11-19,KNeighborsTimeSeries,Hidden Markov Model,20.821872085450362,14.226190476190476,-0.9519625474091502,,,,
2014-08-27,2015-01-05,KNeighborsTimeSeries,Hidden Markov Model,10.613081550614782,8.516666666666662,-0.178851955680148,,,,
2014-10-09,2015-02-18,KNeighborsTimeSeries,Hidden Markov Model,11.963889797674883,9.447727272727276,-6.269712014586191,,,,
2014-11-20,2015-04-01,KNeighborsTimeSeries,Hidden Markov Model,16.19515286097899,13.621428571428572,-3.092715563949345,,,,
2015-04-02,2015-08-10,KNeighborsTimeSeries,Random Forest,21.174670402787076,17.542857142857148,-8.582829102804876,24.25754909497738,19.357857142857142,-11.576339804931237,-3.082878692190306
2015-05-15,2015-09-22,KNeighborsTimeSeries,Random Forest,16.81395862209297,15.120454545454548,-5.327383729667865,20.821672153071663,19.16522727272727,-8.703210049594803,-4.007713530978695
2015-06-29,2015-11-03,Random Forest,KNeighborsTimeSeries,17.05727578316236,16.21285714285714,-8.939999403488043,17.09450970062497,15.945238095238077,-8.983442338791654,-0.03723391746261129
2015-08-11,2015-12-16,KNeighborsTimeSeries,Random Forest,8.770276506473444,7.695000000000002,-0.5871857619577312,8.92124003432258,7.7309999999999945,-0.6422967612967696,-0.15096352784913591
2015-09-23,2016-02-01,KNeighborsTimeSeries,Hidden Markov Model,9.324264301375464,7.138095238095245,-1.8143560758982682,,,,
2015-11-04,2016-03-15,KNeighborsTimeSeries,Hidden Markov Model,6.81307391641073,5.669047619047619,0.007162309632359198,,,,
2015-12-17,2016-04-27,KNeighborsTimeSeries,Hidden Markov Model,22.29290551641119,19.095454545454547,-2.367800250797855,,,,
2016-06-10,2016-10-18,Random Forest,KNeighborsTimeSeries,12.11778924026279,10.198095238095242,-3.151941903762003,12.308857631416343,10.664285714285722,-3.283906422812448,-0.19106839115355356
2016-09-06,2017-01-17,KNeighborsTimeSeries,Hidden Markov Model,18.88837425026785,17.649999999999995,-12.449609144147864,,,,
2016-10-19,2017-03-01,KNeighborsTimeSeries,Hidden Markov Model,11.573961763764853,9.563636363636363,-2.5841599839684317,,,,
2016-12-02,2017-04-12,KNeighborsTimeSeries,Hidden Markov Model,5.618983554921318,4.811904761904765,-1.0024351483991598,,,,
2017-03-02,2017-07-10,KNeighborsTimeSeries,Hidden Markov Model,8.03450654704727,6.756818181818181,0.004905357658276599,,,,
2017-04-13,2017-08-21,KNeighborsTimeSeries,Hidden Markov Model,27.620469893592634,26.89761904761904,-21.779014015369512,,,,
2017-05-26,2017-10-03,KNeighborsTimeSeries,Hidden Markov Model,8.514472972533303,7.938636363636368,-17.537591546970468,,,,
